UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
gdm       1322  1291  1327  0   21 out07 tty1     00:00:00 /usr/bin/gnome-shell
gdm       1322  1291  1328  0   21 out07 tty1     00:00:01 /usr/bin/gnome-shell
gdm       1322  1291  1329  0   21 out07 tty1     00:00:00 /usr/bin/gnome-shell
gdm       1322  1291  1364  0   21 out07 tty1     00:00:00 /usr/bin/gnome-shell
gdm       1322  1291  1365  0   21 out07 tty1     00:00:00 /usr/bin/gnome-shell
gdm       1322  1291  1366  0   21 out07 tty1     00:00:00 /usr/bin/gnome-shell
gdm       1322  1291  1367  0   21 out07 tty1     00:00:00 /usr/bin/gnome-shell
gdm       1322  1291  1368  0   21 out07 tty1     00:00:00 /usr/bin/gnome-shell
gdm       1322  1291  1369  0   21 out07 tty1     00:00:00 /usr/bin/gnome-shell
gdm       1322  1291  1370  0   21 out07 tty1     00:00:00 /usr/bin/gnome-shell
gdm       1322  1291  1371  0   21 out07 tty1     00:00:00 /usr/bin/gnome-shell
gdm       1322  1291  1479  0   21 out07 tty1     00:00:00 /usr/bin/gnome-shell
gdm       1322  1291  1492  0   21 out07 tty1     00:00:00 /usr/bin/gnome-shell
gdm       1322  1291  1493  0   21 out07 tty1     00:00:00 /usr/bin/gnome-shell
gdm       1322  1291  1494  0   21 out07 tty1     00:00:00 /usr/bin/gnome-shell
gdm       1322  1291  1495  0   21 out07 tty1     00:00:00 /usr/bin/gnome-shell
gdm       1322  1291  1496  0   21 out07 tty1     00:00:00 /usr/bin/gnome-shell
gdm       1322  1291  1497  0   21 out07 tty1     00:00:00 /usr/bin/gnome-shell
gdm       1322  1291  1498  0   21 out07 tty1     00:00:00 /usr/bin/gnome-shell
gdm       1322  1291  1499  0   21 out07 tty1     00:00:00 /usr/bin/gnome-shell
root      1331     1  1331  0    3 out07 ?        00:00:01 /usr/lib/upower/upowerd
root      1331     1  1332  0    3 out07 ?        00:00:00 /usr/lib/upower/upowerd
root      1331     1  1333  0    3 out07 ?        00:00:00 /usr/lib/upower/upowerd
